Country,Year,FDI Stocks - Inward (% of GDP)
China,2005,20.628047405179
China,2006,22.324016233456
China,2007,19.819785066013
China,2008,19.927238026051
China,2009,25.771276516505
China,2010,25.785347280957
China,2011,25.251892804567
China,2012,24.237632689319
China,2013,24.358653500208
China,2014,24.810949937907
China,2015,24.375774895449
China,2016,24.526573839568
China,2017,22.140966357323
China,2018,20.346041322911
China,2019,19.582645227824
China,2020,21.999464914407
China,2021,20.220878560633
China,2022,19.45963142197
China,2005,20.628047405179
China,2006,22.324016233456
China,2007,19.819785066013
China,2008,19.927238026051
China,2009,25.771276516505
China,2010,25.785347280957
China,2011,25.251892804567
China,2012,24.237632689319
China,2013,24.358653500208
China,2014,24.810949937907
China,2015,24.375774895449
China,2016,24.526573839568
China,2017,22.140966357323
China,2018,20.346041322911
China,2019,19.582645227824
China,2020,21.999464914407
China,2021,20.220878560633
China,2022,19.45963142197
China,2005,20.628047405179
China,2006,22.324016233456
China,2007,19.819785066013
China,2008,19.927238026051
China,2009,25.771276516505
China,2010,25.785347280957
China,2011,25.251892804567
China,2012,24.237632689319
China,2013,24.358653500208
China,2014,24.810949937907
China,2015,24.375774895449
China,2016,24.526573839568
China,2017,22.140966357323
China,2018,20.346041322911
China,2019,19.582645227824
China,2020,21.999464914407
China,2021,20.220878560633
China,2022,19.45963142197
Colombia,2005,25.402769458765
Colombia,2006,28.064059164285
Colombia,2007,27.378961475886
Colombia,2008,27.738163409505
Colombia,2009,32.686577657262
Colombia,2010,28.967213053996
Colombia,2011,29.071225906345
Colombia,2012,30.469941560175
Colombia,2013,33.555349252008
Colombia,2014,37.197084500155
Colombia,2015,50.792642915309
Colombia,2016,58.159299866295
Colombia,2017,57.50335215709
Colombia,2018,56.503246720207
Colombia,2019,63.435304649277
Colombia,2020,78.585493528545
Colombia,2021,68.969913206208
Colombia,2022,68.163456968176
Colombia,2005,25.402769458765
Colombia,2006,28.064059164285
Colombia,2007,27.378961475886
Colombia,2008,27.738163409505
Colombia,2009,32.686577657262
Colombia,2010,28.967213053996
Colombia,2011,29.071225906345
Colombia,2012,30.469941560175
Colombia,2013,33.555349252008
Colombia,2014,37.197084500155
Colombia,2015,50.792642915309
Colombia,2016,58.159299866295
Colombia,2017,57.50335215709
Colombia,2018,56.503246720207
Colombia,2019,63.435304649277
Colombia,2020,78.585493528545
Colombia,2021,68.969913206208
Colombia,2022,68.163456968176
Colombia,2005,25.402769458765
Colombia,2006,28.064059164285
Colombia,2007,27.378961475886
Colombia,2008,27.738163409505
Colombia,2009,32.686577657262
Colombia,2010,28.967213053996
Colombia,2011,29.071225906345
Colombia,2012,30.469941560175
Colombia,2013,33.555349252008
Colombia,2014,37.197084500155
Colombia,2015,50.792642915309
Colombia,2016,58.159299866295
Colombia,2017,57.50335215709
Colombia,2018,56.503246720207
Colombia,2019,63.435304649277
Colombia,2020,78.585493528545
Colombia,2021,68.969913206208
Colombia,2022,68.163456968176
Colombia,2005,25.402769458765
Colombia,2006,28.064059164285
Colombia,2007,27.378961475886
Colombia,2008,27.738163409505
Colombia,2009,32.686577657262
Colombia,2010,28.967213053996
Colombia,2011,29.071225906345
Colombia,2012,30.469941560175
Colombia,2013,33.555349252008
Colombia,2014,37.197084500155
Colombia,2015,50.792642915309
Colombia,2016,58.159299866295
Colombia,2017,57.50335215709
Colombia,2018,56.503246720207
Colombia,2019,63.435304649277
Colombia,2020,78.585493528545
Colombia,2021,68.969913206208
Colombia,2022,68.163456968176
Colombia,2005,25.402769458765
Colombia,2006,28.064059164285
Colombia,2007,27.378961475886
Colombia,2008,27.738163409505
Colombia,2009,32.686577657262
Colombia,2010,28.967213053996
Colombia,2011,29.071225906345
Colombia,2012,30.469941560175
Colombia,2013,33.555349252008
Colombia,2014,37.197084500155
Colombia,2015,50.792642915309
Colombia,2016,58.159299866295
Colombia,2017,57.50335215709
Colombia,2018,56.503246720207
Colombia,2019,63.435304649277
Colombia,2020,78.585493528545
Colombia,2021,68.969913206208
Colombia,2022,68.163456968176
Colombia,2005,25.402769458765
Colombia,2006,28.064059164285
Colombia,2007,27.378961475886
Colombia,2008,27.738163409505
Colombia,2009,32.686577657262
Colombia,2010,28.967213053996
Colombia,2011,29.071225906345
Colombia,2012,30.469941560175
Colombia,2013,33.555349252008
Colombia,2014,37.197084500155
Colombia,2015,50.792642915309
Colombia,2016,58.159299866295
Colombia,2017,57.50335215709
Colombia,2018,56.503246720207
Colombia,2019,63.435304649277
Colombia,2020,78.585493528545
Colombia,2021,68.969913206208
Colombia,2022,68.163456968176
Costa Rica,2009,40.284797849108
Costa Rica,2010,37.350684700662
Costa Rica,2011,37.943130442374
Costa Rica,2012,39.828128694561
Costa Rica,2013,42.765955563148
Costa Rica,2014,46.872647952011
Costa Rica,2015,54.298078011501
Costa Rica,2016,57.554931785912
Costa Rica,2017,60.715436761057
Costa Rica,2018,63.108756442775
Costa Rica,2019,67.62673552795
Costa Rica,2020,74.711963095758
Costa Rica,2021,77.343563488044
Costa Rica,2022,78.226936417516
Costa Rica,2009,40.284797849108
Costa Rica,2010,37.350684700662
Costa Rica,2011,37.943130442374
Costa Rica,2012,39.828128694561
Costa Rica,2013,42.765955563148
Costa Rica,2014,46.872647952011
Costa Rica,2015,54.298078011501
Costa Rica,2016,57.554931785912
Costa Rica,2017,60.715436761057
Costa Rica,2018,63.108756442775
Costa Rica,2019,67.62673552795
Costa Rica,2020,74.711963095758
Costa Rica,2021,77.343563488044
Costa Rica,2022,78.226936417516
Costa Rica,2009,40.284797849108
Costa Rica,2010,37.350684700662
Costa Rica,2011,37.943130442374
Costa Rica,2012,39.828128694561
Costa Rica,2013,42.765955563148
Costa Rica,2014,46.872647952011
Costa Rica,2015,54.298078011501
Costa Rica,2016,57.554931785912
Costa Rica,2017,60.715436761057
Costa Rica,2018,63.108756442775
Costa Rica,2019,67.62673552795
Costa Rica,2020,74.711963095758
Costa Rica,2021,77.343563488044
Costa Rica,2022,78.226936417516
Costa Rica,2009,40.284797849108
Costa Rica,2010,37.350684700662
Costa Rica,2011,37.943130442374
Costa Rica,2012,39.828128694561
Costa Rica,2013,42.765955563148
Costa Rica,2014,46.872647952011
Costa Rica,2015,54.298078011501
Costa Rica,2016,57.554931785912
Costa Rica,2017,60.715436761057
Costa Rica,2018,63.108756442775
Costa Rica,2019,67.62673552795
Costa Rica,2020,74.711963095758
Costa Rica,2021,77.343563488044
Costa Rica,2022,78.226936417516
Czechia,2005,44.232733241364
Czechia,2006,51.091638214359
Czechia,2007,59.09827949521
Czechia,2008,47.789215739561
Czechia,2009,60.659570123408
Czechia,2010,61.465322251486
Czechia,2011,52.521284090795
Czechia,2012,65.352566708845
Czechia,2013,63.34136754501
Czechia,2014,58.039988991282
Czechia,2015,62.025154003077
Czechia,2016,62.084535455676
Czechia,2017,71.351103204832
Czechia,2018,65.953499057094
Czechia,2019,67.841996337737
Czechia,2020,79.373908998876
Czechia,2021,71.140471025781
Czechia,2022,69.762348778144
Czechia,2005,44.232733241364
Czechia,2006,51.091638214359
Czechia,2007,59.09827949521
Czechia,2008,47.789215739561
Czechia,2009,60.659570123408
Czechia,2010,61.465322251486
Czechia,2011,52.521284090795
Czechia,2012,65.352566708845
Czechia,2013,63.34136754501
Czechia,2014,58.039988991282
Czechia,2015,62.025154003077
Czechia,2016,62.084535455676
Czechia,2017,71.351103204832
Czechia,2018,65.953499057094
Czechia,2019,67.841996337737
Czechia,2020,79.373908998876
Czechia,2021,71.140471025781
Czechia,2022,69.762348778144
Czechia,2005,44.232733241364
Czechia,2006,51.091638214359
Czechia,2007,59.09827949521
Czechia,2008,47.789215739561
Czechia,2009,60.659570123408
Czechia,2010,61.465322251486
Czechia,2011,52.521284090795
Czechia,2012,65.352566708845
Czechia,2013,63.34136754501
Czechia,2014,58.039988991282
Czechia,2015,62.025154003077
Czechia,2016,62.084535455676
Czechia,2017,71.351103204832
Czechia,2018,65.953499057094
Czechia,2019,67.841996337737
Czechia,2020,79.373908998876
Czechia,2021,71.140471025781
Czechia,2022,69.762348778144
Czechia,2005,44.232733241364
Czechia,2006,51.091638214359
Czechia,2007,59.09827949521
Czechia,2008,47.789215739561
Czechia,2009,60.659570123408
Czechia,2010,61.465322251486
Czechia,2011,52.521284090795
Czechia,2012,65.352566708845
Czechia,2013,63.34136754501
Czechia,2014,58.039988991282
Czechia,2015,62.025154003077
Czechia,2016,62.084535455676
Czechia,2017,71.351103204832
Czechia,2018,65.953499057094
Czechia,2019,67.841996337737
Czechia,2020,79.373908998876
Czechia,2021,71.140471025781
Czechia,2022,69.762348778144
Czechia,2005,44.232733241364
Czechia,2006,51.091638214359
Czechia,2007,59.09827949521
Czechia,2008,47.789215739561
Czechia,2009,60.659570123408
Czechia,2010,61.465322251486
Czechia,2011,52.521284090795
Czechia,2012,65.352566708845
Czechia,2013,63.34136754501
Czechia,2014,58.039988991282
Czechia,2015,62.025154003077
Czechia,2016,62.084535455676
Czechia,2017,71.351103204832
Czechia,2018,65.953499057094
Czechia,2019,67.841996337737
Czechia,2020,79.373908998876
Czechia,2021,71.140471025781
Czechia,2022,69.762348778144
Czechia,2005,44.232733241364
Czechia,2006,51.091638214359
Czechia,2007,59.09827949521
Czechia,2008,47.789215739561
Czechia,2009,60.659570123408
Czechia,2010,61.465322251486
Czechia,2011,52.521284090795
Czechia,2012,65.352566708845
Czechia,2013,63.34136754501
Czechia,2014,58.039988991282
Czechia,2015,62.025154003077
Czechia,2016,62.084535455676
Czechia,2017,71.351103204832
Czechia,2018,65.953499057094
Czechia,2019,67.841996337737
Czechia,2020,79.373908998876
Czechia,2021,71.140471025781
Czechia,2022,69.762348778144
Germany,2005,22.754361562763
Germany,2006,27.923744201042
Germany,2007,29.563745501819
Germany,2008,24.762685626037
Germany,2009,28.289058802904
Germany,2010,28.214510425652
Germany,2011,26.366173878403
Germany,2012,24.479025695284
Germany,2013,25.581763276886
Germany,2014,22.171218213129
Germany,2015,23.692497774708
Germany,2016,23.229095991953
Germany,2017,27.012701604677
Germany,2018,24.493854655
Germany,2019,26.17113854519
Germany,2020,30.93915115924
Germany,2021,26.817667467016
Germany,2022,26.758020162683
Germany,2005,22.754361562763
Germany,2006,27.923744201042
Germany,2007,29.563745501819
Germany,2008,24.762685626037
Germany,2009,28.289058802904
Germany,2010,28.214510425652
Germany,2011,26.366173878403
Germany,2012,24.479025695284
Germany,2013,25.581763276886
Germany,2014,22.171218213129
Germany,2015,23.692497774708
Germany,2016,23.229095991953
Germany,2017,27.012701604677
Germany,2018,24.493854655
Germany,2019,26.17113854519
Germany,2020,30.93915115924
Germany,2021,26.817667467016
Germany,2022,26.758020162683
Germany,2005,22.754361562763
Germany,2006,27.923744201042
Germany,2007,29.563745501819
Germany,2008,24.762685626037
Germany,2009,28.289058802904
Germany,2010,28.214510425652
Germany,2011,26.366173878403
Germany,2012,24.479025695284
Germany,2013,25.581763276886
Germany,2014,22.171218213129
Germany,2015,23.692497774708
Germany,2016,23.229095991953
Germany,2017,27.012701604677
Germany,2018,24.493854655
Germany,2019,26.17113854519
Germany,2020,30.93915115924
Germany,2021,26.817667467016
Germany,2022,26.758020162683
Germany,2005,22.754361562763
Germany,2006,27.923744201042
Germany,2007,29.563745501819
Germany,2008,24.762685626037
Germany,2009,28.289058802904
Germany,2010,28.214510425652
Germany,2011,26.366173878403
Germany,2012,24.479025695284
Germany,2013,25.581763276886
Germany,2014,22.171218213129
Germany,2015,23.692497774708
Germany,2016,23.229095991953
Germany,2017,27.012701604677
Germany,2018,24.493854655
Germany,2019,26.17113854519
Germany,2020,30.93915115924
Germany,2021,26.817667467016
Germany,2022,26.758020162683
Germany,2005,22.754361562763
Germany,2006,27.923744201042
Germany,2007,29.563745501819
Germany,2008,24.762685626037
Germany,2009,28.289058802904
Germany,2010,28.214510425652
Germany,2011,26.366173878403
Germany,2012,24.479025695284
Germany,2013,25.581763276886
Germany,2014,22.171218213129
Germany,2015,23.692497774708
Germany,2016,23.229095991953
Germany,2017,27.012701604677
Germany,2018,24.493854655
Germany,2019,26.17113854519
Germany,2020,30.93915115924
Germany,2021,26.817667467016
Germany,2022,26.758020162683
Germany,2005,22.754361562763
Germany,2006,27.923744201042
Germany,2007,29.563745501819
Germany,2008,24.762685626037
Germany,2009,28.289058802904
Germany,2010,28.214510425652
Germany,2011,26.366173878403
Germany,2012,24.479025695284
Germany,2013,25.581763276886
Germany,2014,22.171218213129
Germany,2015,23.692497774708
Germany,2016,23.229095991953
Germany,2017,27.012701604677
Germany,2018,24.493854655
Germany,2019,26.17113854519
Germany,2020,30.93915115924
Germany,2021,26.817667467016
Germany,2022,26.758020162683
Denmark,2005,28.22694956286
Denmark,2006,32.550027289677
Denmark,2007,34.840408083957
Denmark,2008,29.416754794174
Denmark,2009,32.134416643619
Denmark,2010,30.11967840394
Denmark,2011,28.61112041906
Denmark,2012,30.053446846942
Denmark,2013,21.81221671208
Denmark,2014,27.129809102385
Denmark,2015,30.388815567611
Denmark,2016,31.7465058567
Denmark,2017,34.893105463941
Denmark,2018,32.970603759053
Denmark,2019,37.229010590158
Denmark,2020,42.741437816515
Denmark,2021,34.276916515275
Denmark,2022,30.809002247236
Denmark,2005,28.22694956286
Denmark,2006,32.550027289677
Denmark,2007,34.840408083957
Denmark,2008,29.416754794174
Denmark,2009,32.134416643619
Denmark,2010,30.11967840394
Denmark,2011,28.61112041906
Denmark,2012,30.053446846942
Denmark,2013,21.81221671208
Denmark,2014,27.129809102385
Denmark,2015,30.388815567611
Denmark,2016,31.7465058567
Denmark,2017,34.893105463941
Denmark,2018,32.970603759053
Denmark,2019,37.229010590158
Denmark,2020,42.741437816515
Denmark,2021,34.276916515275
Denmark,2022,30.809002247236
Denmark,2005,28.22694956286
Denmark,2006,32.550027289677
Denmark,2007,34.840408083957
Denmark,2008,29.416754794174
Denmark,2009,32.134416643619
Denmark,2010,30.11967840394
Denmark,2011,28.61112041906
Denmark,2012,30.053446846942
Denmark,2013,21.81221671208
Denmark,2014,27.129809102385
Denmark,2015,30.388815567611
Denmark,2016,31.7465058567
Denmark,2017,34.893105463941
Denmark,2018,32.970603759053
Denmark,2019,37.229010590158
Denmark,2020,42.741437816515
Denmark,2021,34.276916515275
Denmark,2022,30.809002247236
Denmark,2005,28.22694956286
Denmark,2006,32.550027289677
Denmark,2007,34.840408083957
Denmark,2008,29.416754794174
Denmark,2009,32.134416643619
Denmark,2010,30.11967840394
Denmark,2011,28.61112041906
Denmark,2012,30.053446846942
Denmark,2013,21.81221671208
Denmark,2014,27.129809102385
Denmark,2015,30.388815567611
Denmark,2016,31.7465058567
Denmark,2017,34.893105463941
Denmark,2018,32.970603759053
Denmark,2019,37.229010590158
Denmark,2020,42.741437816515
Denmark,2021,34.276916515275
Denmark,2022,30.809002247236
Denmark,2005,28.22694956286
Denmark,2006,32.550027289677
Denmark,2007,34.840408083957
Denmark,2008,29.416754794174
Denmark,2009,32.134416643619
Denmark,2010,30.11967840394
Denmark,2011,28.61112041906
Denmark,2012,30.053446846942
Denmark,2013,21.81221671208
Denmark,2014,27.129809102385
Denmark,2015,30.388815567611
Denmark,2016,31.7465058567
Denmark,2017,34.893105463941
Denmark,2018,32.970603759053
Denmark,2019,37.229010590158
Denmark,2020,42.741437816515
Denmark,2021,34.276916515275
Denmark,2022,30.809002247236
Denmark,2005,28.22694956286
Denmark,2006,32.550027289677
Denmark,2007,34.840408083957
Denmark,2008,29.416754794174
Denmark,2009,32.134416643619
Denmark,2010,30.11967840394
Denmark,2011,28.61112041906
Denmark,2012,30.053446846942
Denmark,2013,21.81221671208
Denmark,2014,27.129809102385
Denmark,2015,30.388815567611
Denmark,2016,31.7465058567
Denmark,2017,34.893105463941
Denmark,2018,32.970603759053
Denmark,2019,37.229010590158
Denmark,2020,42.741437816515
Denmark,2021,34.276916515275
Denmark,2022,30.809002247236
Spain,2013,47.118683152729
Spain,2014,42.820926456499
Spain,2015,46.251186017305
Spain,2016,44.927099713757
Spain,2017,51.00485807299
Spain,2018,48.568466426522
Spain,2019,51.175623931986
Spain,2020,62.504990871685
Spain,2021,55.988631066211
Spain,2022,58.101294192539
Spain,2013,47.118683152729
Spain,2014,42.820926456499
Spain,2015,46.251186017305
Spain,2016,44.927099713757
Spain,2017,51.00485807299
Spain,2018,48.568466426522
Spain,2019,51.175623931986
Spain,2020,62.504990871685
Spain,2021,55.988631066211
Spain,2022,58.101294192539
Spain,2013,47.118683152729
Spain,2014,42.820926456499
Spain,2015,46.251186017305
Spain,2016,44.927099713757
Spain,2017,51.00485807299
Spain,2018,48.568466426522
Spain,2019,51.175623931986
Spain,2020,62.504990871685
Spain,2021,55.988631066211
Spain,2022,58.101294192539
Estonia,2005,79.350032119355
Estonia,2006,71.158035855522
Estonia,2007,69.8199636005
Estonia,2008,63.544795166753
Estonia,2009,80.654234836959
Estonia,2010,79.604885088902
Estonia,2011,70.426235376251
Estonia,2013,86.71879845934
Estonia,2015,80.588603966559
Estonia,2016,79.419953284109
Estonia,2017,86.627069355492
Estonia,2018,79.397574713973
Estonia,2019,88.076057768367
Estonia,2020,107.07696179667
Estonia,2021,92.999744956396
Estonia,2022,96.204652884131
Estonia,2005,79.350032119355
Estonia,2006,71.158035855522
Estonia,2007,69.8199636005
Estonia,2008,63.544795166753
Estonia,2009,80.654234836959
Estonia,2010,79.604885088902
Estonia,2011,70.426235376251
Estonia,2013,86.71879845934
Estonia,2015,80.588603966559
Estonia,2016,79.419953284109
Estonia,2017,86.627069355492
Estonia,2018,79.397574713973
Estonia,2019,88.076057768367
Estonia,2020,107.07696179667
Estonia,2021,92.999744956396
Estonia,2022,96.204652884131
Estonia,2005,79.350032119355
Estonia,2006,71.158035855522
Estonia,2007,69.8199636005
Estonia,2008,63.544795166753
Estonia,2009,80.654234836959
Estonia,2010,79.604885088902
Estonia,2011,70.426235376251
Estonia,2013,86.71879845934
Estonia,2015,80.588603966559
Estonia,2016,79.419953284109
Estonia,2017,86.627069355492
Estonia,2018,79.397574713973
Estonia,2019,88.076057768367
Estonia,2020,107.07696179667
Estonia,2021,92.999744956396
Estonia,2022,96.204652884131
Estonia,2005,79.350032119355
Estonia,2006,71.158035855522
Estonia,2007,69.8199636005
Estonia,2008,63.544795166753
Estonia,2009,80.654234836959
Estonia,2010,79.604885088902
Estonia,2011,70.426235376251
Estonia,2013,86.71879845934
Estonia,2015,80.588603966559
Estonia,2016,79.419953284109
Estonia,2017,86.627069355492
Estonia,2018,79.397574713973
Estonia,2019,88.076057768367
Estonia,2020,107.07696179667
Estonia,2021,92.999744956396
Estonia,2022,96.204652884131
Finland,2005,26.746669328237
Finland,2006,32.506873936668
Finland,2007,35.768743081785
Finland,2008,29.238555176467
Finland,2009,33.597682014555
Finland,2010,34.421328503155
Finland,2011,32.37476999419
Finland,2012,37.413700294751
Finland,2013,32.726369274085
Finland,2014,33.852244076598
Finland,2015,34.818054721257
Finland,2016,33.197643539168
Finland,2017,35.199495942805
Finland,2018,26.13958464614
Finland,2019,31.959742424403
Finland,2020,33.275413293656
Finland,2021,29.035070883006
Finland,2022,29.330614771133
Finland,2005,26.746669328237
Finland,2006,32.506873936668
Finland,2007,35.768743081785
Finland,2008,29.238555176467
Finland,2009,33.597682014555
Finland,2010,34.421328503155
Finland,2011,32.37476999419
Finland,2012,37.413700294751
