Country,Year,GDP per Hour Worked
Iceland,2010,57.363205
Iceland,2011,57.412617
Iceland,2012,57.495299
Iceland,2013,58.702973
Iceland,2014,58.676681
Iceland,2015,59.662657
Iceland,2016,60.324542
Iceland,2017,60.815593
Iceland,2018,62.370889
Iceland,2019,64.295165
Iceland,2020,63.298688
Iceland,2021,65.634561
Iceland,2022,65.788966
Iceland,1990,36.598448
Iceland,1991,36.460144
Iceland,1992,34.945867
Iceland,1993,35.382993
Iceland,1994,36.525802
Iceland,1995,36.115595
Iceland,1996,37.281082
Iceland,1997,39.007073
Iceland,1998,41.15579
Iceland,1999,41.74796
Iceland,2000,42.954892
Iceland,2001,44.570648
Iceland,2002,45.424657
Iceland,2003,46.932506
Iceland,2004,50.125586
Iceland,2005,51.613242
Iceland,2006,52.938942
Iceland,2007,56.118409
Iceland,2008,54.473883
Iceland,2009,57.958666
Iceland,2010,57.363205
Iceland,2011,57.412617
Iceland,2012,57.495299
Iceland,2013,58.702973
Iceland,2014,58.676681
Iceland,2015,59.662657
Iceland,2016,60.324542
Iceland,2017,60.815593
Iceland,2018,62.370889
Iceland,2019,64.295165
Iceland,2020,63.298688
Iceland,2021,65.634561
Iceland,2022,65.788966
Iceland,1990,36.598448
Iceland,1991,36.460144
Iceland,1992,34.945867
Iceland,1993,35.382993
Iceland,1994,36.525802
Iceland,1995,36.115595
Iceland,1996,37.281082
Iceland,1997,39.007073
Iceland,1998,41.15579
Iceland,1999,41.74796
Iceland,2000,42.954892
Iceland,2001,44.570648
Iceland,2002,45.424657
Iceland,2003,46.932506
Iceland,2004,50.125586
Iceland,2005,51.613242
Iceland,2006,52.938942
Iceland,2007,56.118409
Iceland,2008,54.473883
Iceland,2009,57.958666
Iceland,2010,57.363205
Iceland,2011,57.412617
Iceland,2012,57.495299
Iceland,2013,58.702973
Iceland,2014,58.676681
Iceland,2015,59.662657
Iceland,2016,60.324542
Iceland,2017,60.815593
Iceland,2018,62.370889
Iceland,2019,64.295165
Iceland,2020,63.298688
Iceland,2021,65.634561
Iceland,2022,65.788966
Iceland,1990,36.598448
Iceland,1991,36.460144
Iceland,1992,34.945867
Iceland,1993,35.382993
Iceland,1994,36.525802
Iceland,1995,36.115595
Iceland,1996,37.281082
Iceland,1997,39.007073
Iceland,1998,41.15579
Iceland,1999,41.74796
Iceland,2000,42.954892
Iceland,2001,44.570648
Iceland,2002,45.424657
Iceland,2003,46.932506
Iceland,2004,50.125586
Iceland,2005,51.613242
Iceland,2006,52.938942
Iceland,2007,56.118409
Iceland,2008,54.473883
Iceland,2009,57.958666
Iceland,2010,57.363205
Iceland,2011,57.412617
Iceland,2012,57.495299
Iceland,2013,58.702973
Iceland,2014,58.676681
Iceland,2015,59.662657
Iceland,2016,60.324542
Iceland,2017,60.815593
Iceland,2018,62.370889
Iceland,2019,64.295165
Iceland,2020,63.298688
Iceland,2021,65.634561
Iceland,2022,65.788966
Iceland,1990,36.598448
Iceland,1991,36.460144
Iceland,1992,34.945867
Iceland,1993,35.382993
Iceland,1994,36.525802
Iceland,1995,36.115595
Iceland,1996,37.281082
Iceland,1997,39.007073
Iceland,1998,41.15579
Iceland,1999,41.74796
Iceland,2000,42.954892
Iceland,2001,44.570648
Iceland,2002,45.424657
Iceland,2003,46.932506
Iceland,2004,50.125586
Iceland,2005,51.613242
Iceland,2006,52.938942
Iceland,2007,56.118409
Iceland,2008,54.473883
Iceland,2009,57.958666
Iceland,2010,57.363205
Iceland,2011,57.412617
Iceland,2012,57.495299
Iceland,2013,58.702973
Iceland,2014,58.676681
Iceland,2015,59.662657
Iceland,2016,60.324542
Iceland,2017,60.815593
Iceland,2018,62.370889
Iceland,2019,64.295165
Iceland,2020,63.298688
Iceland,2021,65.634561
Iceland,2022,65.788966
Iceland,1990,36.598448
Iceland,1991,36.460144
Iceland,1992,34.945867
Iceland,1993,35.382993
Iceland,1994,36.525802
Iceland,1995,36.115595
Iceland,1996,37.281082
Iceland,1997,39.007073
Iceland,1998,41.15579
Iceland,1999,41.74796
Iceland,2000,42.954892
Iceland,2001,44.570648
Iceland,2002,45.424657
Iceland,2003,46.932506
Iceland,2004,50.125586
Iceland,2005,51.613242
Iceland,2006,52.938942
Iceland,2007,56.118409
Iceland,2008,54.473883
Iceland,2009,57.958666
Iceland,2010,57.363205
Iceland,2011,57.412617
Iceland,2012,57.495299
Iceland,2013,58.702973
Iceland,2014,58.676681
Iceland,2015,59.662657
Iceland,2016,60.324542
Iceland,2017,60.815593
Iceland,2018,62.370889
Iceland,2019,64.295165
Iceland,2020,63.298688
Iceland,2021,65.634561
Iceland,2022,65.788966
Iceland,1990,36.598448
Iceland,1991,36.460144
Iceland,1992,34.945867
Iceland,1993,35.382993
Iceland,1994,36.525802
Iceland,1995,36.115595
Iceland,1996,37.281082
Iceland,1997,39.007073
Iceland,1998,41.15579
Iceland,1999,41.74796
Iceland,2000,42.954892
Iceland,2001,44.570648
Iceland,2002,45.424657
Iceland,2003,46.932506
Iceland,2004,50.125586
Iceland,2005,51.613242
Iceland,2006,52.938942
Iceland,2007,56.118409
Iceland,2008,54.473883
Iceland,2009,57.958666
Iceland,2010,57.363205
Iceland,2011,57.412617
Iceland,2012,57.495299
Iceland,2013,58.702973
Iceland,2014,58.676681
Iceland,2015,59.662657
Iceland,2016,60.324542
Iceland,2017,60.815593
Iceland,2018,62.370889
Iceland,2019,64.295165
Iceland,2020,63.298688
Iceland,2021,65.634561
Iceland,2022,65.788966
Iceland,1990,36.598448
Iceland,1991,36.460144
Iceland,1992,34.945867
Iceland,1993,35.382993
Iceland,1994,36.525802
Iceland,1995,36.115595
Iceland,1996,37.281082
Iceland,1997,39.007073
Iceland,1998,41.15579
Iceland,1999,41.74796
Iceland,2000,42.954892
Iceland,2001,44.570648
Iceland,2002,45.424657
Iceland,2003,46.932506
Iceland,2004,50.125586
Iceland,2005,51.613242
Iceland,2006,52.938942
Iceland,2007,56.118409
Iceland,2008,54.473883
Iceland,2009,57.958666
Iceland,2010,57.363205
Iceland,2011,57.412617
Iceland,2012,57.495299
Iceland,2013,58.702973
Iceland,2014,58.676681
Iceland,2015,59.662657
Iceland,2016,60.324542
Iceland,2017,60.815593
Iceland,2018,62.370889
Iceland,2019,64.295165
Iceland,2020,63.298688
Iceland,2021,65.634561
Iceland,2022,65.788966
Israel,1990,30.901915
Israel,1991,31.671703
Israel,1992,31.49097
Israel,1993,31.283111
Israel,1994,30.857308
Israel,1995,30.544235
Israel,1996,30.741638
Israel,1997,31.270977
