unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
80331748,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,137,3,0.95143,1990,"5.83668775158168,5.55555555555579,3.87337536996478",2010,"6.28354087427708,5.6863195957596,4.9024272721799",2024-04-06 11:43:38,Unknown
80331754,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,137,3,0.95143,1990,"5.83668775158168,5.55555555555579,3.87337536996478",2010,"6.28354087427708,5.6863195957596,4.9024272721799",2024-04-06 11:43:39,Unknown
80331760,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,137,3,0.95143,1990,"5.83668775158168,5.55555555555579,3.87337536996478",2010,"6.28354087427708,5.6863195957596,4.9024272721799",2024-04-06 11:43:39,Unknown
80331766,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,137,3,0.95143,1990,"5.83668775158168,5.55555555555579,3.87337536996478",2010,"6.28354087427708,5.6863195957596,4.9024272721799",2024-04-06 11:43:40,Unknown
80331772,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,137,3,0.95143,1990,"5.83668775158168,5.55555555555579,3.87337536996478",2010,"6.28354087427708,5.6863195957596,4.9024272721799",2024-04-06 11:43:40,Unknown
80331778,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,137,3,0.95143,1990,"5.83668775158168,5.55555555555579,3.87337536996478",2010,"6.28354087427708,5.6863195957596,4.9024272721799",2024-04-06 11:43:40,Unknown
80331784,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,137,3,0.95143,1990,"5.83668775158168,5.55555555555579,3.87337536996478",2010,"6.28354087427708,5.6863195957596,4.9024272721799",2024-04-06 11:43:41,Unknown
80331790,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,137,3,0.95143,1990,"5.83668775158168,5.55555555555579,3.87337536996478",2010,"6.28354087427708,5.6863195957596,4.9024272721799",2024-04-06 11:43:41,Unknown
80331796,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,137,3,0.95143,1990,"5.83668775158168,5.55555555555579,3.87337536996478",2010,"6.28354087427708,5.6863195957596,4.9024272721799",2024-04-06 11:43:42,Unknown
80331802,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,137,3,0.95143,1990,"5.83668775158168,5.55555555555579,3.87337536996478",2010,"6.28354087427708,5.6863195957596,4.9024272721799",2024-04-06 11:43:42,Unknown
80331808,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,137,3,0.95143,1990,"5.83668775158168,5.55555555555579,3.87337536996478",2010,"6.28354087427708,5.6863195957596,4.9024272721799",2024-04-06 11:43:42,Unknown
80331814,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,137,3,0.95143,1990,"5.83668775158168,5.55555555555579,3.87337536996478",2010,"6.28354087427708,5.6863195957596,4.9024272721799",2024-04-06 11:43:43,Unknown
86503907,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:31,Unknown
86503911,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:31,Unknown
86503915,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:31,Unknown
