unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
7717220,World Bank,GDP (current US$),GDP (current US$),2023,4,194,15,0.90988,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2007,"149146918.888611,188021169.26829,187821029.428546,196652514.267255,231489270.144529,250680845.747837,300554483.611626,346528329.183227,316066072.343754,345495614.979982,375614126.193877,412253809.728799,427425039.684339,472551023.610419,526653790.670814",2023-12-21 21:04:39
7717137,World Bank,GDP (current US$),GDP (current US$),2023,4,14,15,0.90968,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1980,"82058912997.2346,71034228443.062,71275287569.5733,72121016546.6524,67985344886.8716,69386774408.0872,99036164939.1618,124168442533.74,133339397080.129,133105805512.22,166463386179.354,173794177961.108,195078126721.763,190379720809.18,203535242741.838",2023-12-21 21:04:31
7717181,World Bank,GDP (current US$),GDP (current US$),2023,4,103,15,0.90967,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1973,"5134367778.1446,11516762614.2906,13458516762.6143,17754825601.0836,19838130714.5276,23762275651.8794,37816457839.4853,52569000000.0,37823000000.0,42382333333.3333,40712903225.8064,46938387096.7742,48425161290.3226,47264516129.0323,56774193548.3871",2023-12-21 21:04:36
7717151,World Bank,GDP (current US$),GDP (current US$),2023,4,43,15,0.90859,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1998,"1744794532.49364,1534673583.2487,1388506771.52623,1710843376.39331,1997005710.26555,2742815070.75867,4422855658.38043,6649307528.06238,7428701455.40565,8650137734.71637,10393833755.2791,9290728312.24383,10668103549.3123,12172308858.2993,12367362746.1307",2023-12-21 21:04:33
7717228,World Bank,GDP (current US$),GDP (current US$),2023,4,226,15,0.90854,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"8824849662.9616,9008297748.05893,11305459802.0683,13280292692.3489,15982388172.7158,18369361094.3886,21641620049.9352,27871587349.5413,19172165225.5015,22157919433.8752,25433008605.0407,27121712418.5349,28557451149.8686,29489012806.8905,26851970249.3032",2023-12-21 21:04:40
7717149,World Bank,GDP (current US$),GDP (current US$),2023,4,39,15,0.90829,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1997,"10789458426.1088,11298144998.6965,11565826458.8945,10566579294.5164,10953485345.2216,12417251341.6032,15970315030.2406,18826214125.2325,19509852219.3298,20910512978.1716,23928250410.0588,27715142005.5704,27932970297.0644,27507501809.2414,30630910513.0616",2023-12-21 21:04:33
7717224,World Bank,GDP (current US$),GDP (current US$),2023,4,219,15,0.90782,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"1080772703.16128,1221106073.03073,1555318430.76621,2076176636.43428,2312352267.98721,2830213562.60217,3719524180.70289,5161299725.27673,4979471963.79181,5642221528.67114,6522755783.39257,7633036366.03492,8448410727.15443,9112606074.51713,8271431932.43678",2023-12-21 21:04:40
7717232,World Bank,GDP (current US$),GDP (current US$),2023,4,240,15,0.90778,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1984,"144482515.368336,131856420.703184,126498935.335649,139464173.547324,158351368.433149,154013202.116475,168879207.244148,201334169.054441,209088824.608438,200491853.167847,233701301.490486,249333250.082507,261370044.486614,272771209.113662,262293410.708334",2023-12-21 21:04:41
7717174,World Bank,GDP (current US$),GDP (current US$),2023,4,92,15,0.90775,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"392621389.507611,417806651.119856,477458577.161635,532062894.801533,587029096.029113,592365659.824007,696910784.016302,868154627.869806,830126428.786134,849878489.113364,1099818591.95727,989271155.126905,1046087367.44973,1054915581.36774,1048229632.99726",2023-12-21 21:04:35
7717157,World Bank,GDP (current US$),GDP (current US$),2023,4,61,15,0.90772,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2000,"24305781111.9057,25601824419.0385,27137441266.3355,21403168127.883,22322387609.8481,35777560474.8106,37879829854.7965,43965459071.0654,48122601589.7717,48261079523.8213,53860187452.3853,58029773802.3818,60681535894.481,62682158700.2885,67179956264.9383",2023-12-21 21:04:34
7717139,World Bank,GDP (current US$),GDP (current US$),2023,4,18,15,0.90754,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1989,"28781714763.8909,31598341233.463,30957483949.5798,31708874594.1645,33166519417.9894,33768660882.793,37939748768.6567,46438484107.5795,48244309133.4895,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556",2023-12-21 21:04:31
7717211,World Bank,GDP (current US$),GDP (current US$),2023,4,166,15,0.90754,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"19452000520.156,20142756046.814,21633708192.4577,24763712873.8622,31081991677.5033,37215779713.9142,42085379453.8362,60905452535.7607,48388363589.0767,64993498049.4148,77497529258.7776,87408842652.7958,89936020806.2419,92699089726.9181,78710793237.9714",2023-12-21 21:04:38
7717152,World Bank,GDP (current US$),GDP (current US$),2023,4,44,15,0.90741,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2000,"78249883995.6255,71517267767.736,70295232513.0515,76507853875.6649,99079365628.3333,122314960843.922,153840051814.059,172565861848.899,179663390874.653,171412643623.963,217105434199.5,251224856981.294,267175870677.659,277239473853.807,259405194672.935",2023-12-21 21:04:33
7717215,World Bank,GDP (current US$),GDP (current US$),2023,4,172,15,0.90713,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1984,"4502462807.13993,3282449235.76129,3723993942.79088,3971044723.8024,4255683528.33333,4757732199.96213,5812114523.01187,6984367762.90371,7157424031.06045,7249533620.30614,7870982004.8195,9062131475.02318,9788391780.52421,9965225678.05093,9260481572.42462",2023-12-21 21:04:39
7717175,World Bank,GDP (current US$),GDP (current US$),2023,4,93,15,0.90712,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1968,"229749999.885125,249299999.87535,267799999.8661,282050000.0,285380952.380952,307047619.047619,433954545.454545,494791666.666667,454440000.0,449880000.0,507080000.0,530440000.0,603200000.0,570357107.142857,482000000.160667",2023-12-21 21:04:35
7717189,World Bank,GDP (current US$),GDP (current US$),2023,4,121,15,0.9071,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2002,"19152238805.9701,20082918739.6352,21159827992.0398,21497336498.9718,22022709851.5423,24827355014.66,29118916105.6053,35399582928.6236,38443907042.3217,39927125961.194,44016799515.8209,46880103080.6634,48095213746.4677,49929337837.0813,51147308773.9304",2023-12-21 21:04:36
7717160,World Bank,GDP (current US$),GDP (current US$),2023,4,71,15,0.90709,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2007,"2339015384.90742,2489873331.02639,2296065312.82255,2331796784.36009,2505740886.25907,2427200582.91115,2690110671.24132,2914012852.34062,2573906035.59584,2813278761.27524,2980057167.73595,3188601035.1907,3275684065.13139,3248670978.10165,3649878680.22811",2023-12-21 21:04:34
7717165,World Bank,GDP (current US$),GDP (current US$),2023,4,78,15,0.90708,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1969,"318124701.048949,323802475.480977,381687073.058558,430508357.723916,722780701.123251,1544216003.9841,2157592936.60712,3009409970.90514,2809349074.17738,2389479269.18878,3030251116.35999,4279637933.85126,3862269126.92642,3618007844.44919,3391275731.31834",2023-12-21 21:04:34
7717141,World Bank,GDP (current US$),GDP (current US$),2023,4,19,15,0.90679,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1974,"311804643.275147,402178605.019554,435911268.58968,495097667.929041,552883707.055138,670362452.145379,1012280614.52792,1114204743.20091,1163923830.35847,1236016506.73694,1346890071.09829,1409536120.91682,1547755183.21484,1704370307.76115,1812757917.76463",2023-12-21 21:04:32
